area,year,month,price_ore_kwh
SE1,2020,1,24.4
SE1,2020,2,15.1
SE1,2020,3,9.45
SE1,2020,4,5.38
SE1,2020,5,9.97
SE1,2020,6,10.35
SE1,2020,7,8.91
SE1,2020,8,18.36
SE1,2020,9,31.59
SE1,2020,10,21.6
SE1,2020,11,6.78
SE1,2020,12,18.73
SE1,2021,1,45.32
SE1,2021,2,43.9
SE1,2021,3,25.4
SE1,2021,4,26.84
SE1,2021,5,38.96
SE1,2021,6,34.94
SE1,2021,7,51.7
SE1,2021,8,58.41
SE1,2021,9,56.34
SE1,2021,10,25.97
SE1,2021,11,43.69
SE1,2021,12,66.74
SE1,2022,1,29.85
SE1,2022,2,26.05
SE1,2022,3,23.16
SE1,2022,4,54.45
SE1,2022,5,58.63
SE1,2022,6,51.42
SE1,2022,7,22.68
SE1,2022,8,18.42
SE1,2022,9,99.4
SE1,2022,10,49.0
SE1,2022,11,118.95
SE1,2022,12,206.46
SE1,2023,1,72.15
SE1,2023,2,53.33
SE1,2023,3,57.72
SE1,2023,4,67.31
SE1,2023,5,28.24
SE1,2023,6,50.73
SE1,2023,7,36.68
SE1,2023,8,23.04
SE1,2023,9,10.51
SE1,2023,10,17.21
SE1,2023,11,60.6
SE1,2023,12,74.99
SE1,2024,1,62.19
SE1,2024,2,45.61
SE1,2024,3,57.42
SE1,2024,4,49.86
SE1,2024,5,17.37
SE1,2024,6,24.43
SE1,2024,7,20.47
SE1,2024,8,8.81
SE1,2024,9,9.68
SE1,2024,10,12.72
SE1,2024,11,24.71
SE1,2024,12,12.72
SE1,2025,1,22.65
SE1,2025,2,12.46
SE1,2025,3,15.77
SE1,2025,4,14.32
SE1,2025,5,14.14
SE1,2025,6,3.03
SE1,2025,7,13.29
SE1,2025,8,23.34
SE1,2025,9,17.21
SE1,2025,10,14.2
SE1,2025,11,36.83
SE1,2025,12,30.57
SE2,2020,1,24.4
SE2,2020,2,15.1
SE2,2020,3,9.45
SE2,2020,4,5.38
SE2,2020,5,9.97
SE2,2020,6,10.35
SE2,2020,7,8.91
SE2,2020,8,18.37
SE2,2020,9,31.59
SE2,2020,10,21.6
SE2,2020,11,6.78
SE2,2020,12,18.73
SE2,2021,1,45.32
SE2,2021,2,43.9
SE2,2021,3,25.4
SE2,2021,4,26.76
SE2,2021,5,38.96
SE2,2021,6,34.94
SE2,2021,7,52.51
SE2,2021,8,58.41
SE2,2021,9,56.34
SE2,2021,10,25.97
SE2,2021,11,43.69
SE2,2021,12,66.74
SE2,2022,1,29.85
SE2,2022,2,26.05
SE2,2022,3,23.16
SE2,2022,4,55.21
SE2,2022,5,58.63
SE2,2022,6,51.42
SE2,2022,7,22.68
SE2,2022,8,52.57
SE2,2022,9,99.79
SE2,2022,10,49.8
SE2,2022,11,118.95
SE2,2022,12,206.54
SE2,2023,1,72.15
SE2,2023,2,53.33
SE2,2023,3,57.72
SE2,2023,4,67.31
SE2,2023,5,28.31
SE2,2023,6,50.73
SE2,2023,7,36.68
SE2,2023,8,23.04
SE2,2023,9,10.51
SE2,2023,10,17.21
SE2,2023,11,60.6
SE2,2023,12,74.99
SE2,2024,1,62.31
SE2,2024,2,45.76
SE2,2024,3,57.42
SE2,2024,4,50.18
SE2,2024,5,17.37
SE2,2024,6,24.43
SE2,2024,7,20.41
SE2,2024,8,8.47
SE2,2024,9,11.01
SE2,2024,10,13.65
SE2,2024,11,17.92
SE2,2024,12,11.3
SE2,2025,1,23.18
SE2,2025,2,14.02
SE2,2025,3,10.93
SE2,2025,4,14.13
SE2,2025,5,15.14
SE2,2025,6,4.98
SE2,2025,7,15.6
SE2,2025,8,22.66
SE2,2025,9,16.25
SE2,2025,10,13.46
SE2,2025,11,34.2
SE2,2025,12,30.95
SE3,2020,1,24.9
SE3,2020,2,19.29
SE3,2020,3,14.52
SE3,2020,4,9.44
SE3,2020,5,13.36
SE3,2020,6,24.89
SE3,2020,7,9.36
SE3,2020,8,35.31
SE3,2020,9,35.13
SE3,2020,10,23.21
SE3,2020,11,24.8
SE3,2020,12,32.69
SE3,2021,1,49.33
SE3,2021,2,53.93
SE3,2021,3,36.72
SE3,2021,4,33.62
SE3,2021,5,43.52
SE3,2021,6,40.44
SE3,2021,7,58.77
SE3,2021,8,66.65
SE3,2021,9,91.62
SE3,2021,10,65.24
SE3,2021,11,83.77
SE3,2021,12,182.84
SE3,2022,1,107.24
SE3,2022,2,78.12
SE3,2022,3,130.64
SE3,2022,4,91.74
SE3,2022,5,104.33
SE3,2022,6,126.65
SE3,2022,7,86.94
SE3,2022,8,224.71
SE3,2022,9,225.68
SE3,2022,10,78.22
SE3,2022,11,127.6
SE3,2022,12,269.73
SE3,2023,1,94.96
SE3,2023,2,84.57
SE3,2023,3,82.41
SE3,2023,4,69.57
SE3,2023,5,39.52
SE3,2023,6,52.15
SE3,2023,7,36.92
SE3,2023,8,35.76
SE3,2023,9,23.48
SE3,2023,10,32.46
SE3,2023,11,81.86
SE3,2023,12,81.87
SE3,2024,1,81.71
SE3,2024,2,51.28
SE3,2024,3,60.33
SE3,2024,4,55.63
SE3,2024,5,23.36
SE3,2024,6,27.7
SE3,2024,7,20.64
SE3,2024,8,8.49
SE3,2024,9,16.61
SE3,2024,10,23.15
SE3,2024,11,66.25
SE3,2024,12,59.28
SE3,2025,1,60.5
SE3,2025,2,74.76
SE3,2025,3,50.72
SE3,2025,4,37.49
SE3,2025,5,43.15
SE3,2025,6,22.73
SE3,2025,7,36.21
SE3,2025,8,47.69
SE3,2025,9,52.07
SE3,2025,10,62.58
SE3,2025,11,69.37
SE3,2025,12,50.76
SE4,2020,1,27.68
SE4,2020,2,19.47
SE4,2020,3,16.75
SE4,2020,4,14.42
SE4,2020,5,14.72
SE4,2020,6,25.4
SE4,2020,7,23.99
SE4,2020,8,42.39
SE4,2020,9,37.4
SE4,2020,10,27.56
SE4,2020,11,36.3
SE4,2020,12,39.01
SE4,2021,1,50.51
SE4,2021,2,54.7
SE4,2021,3,45.81
SE4,2021,4,43.1
SE4,2021,5,48.5
SE4,2021,6,74.15
SE4,2021,7,69.06
SE4,2021,8,84.93
SE4,2021,9,122.4
SE4,2021,10,87.49
SE4,2021,11,113.28
SE4,2021,12,189.63
SE4,2022,1,112.43
SE4,2022,2,84.49
SE4,2022,3,154.96
SE4,2022,4,117.05
SE4,2022,5,141.19
SE4,2022,6,180.65
SE4,2022,7,122.63
SE4,2022,8,307.5
SE4,2022,9,238.6
SE4,2022,10,78.82
SE4,2022,11,131.48
SE4,2022,12,272.17
SE4,2023,1,107.16
SE4,2023,2,105.32
SE4,2023,3,93.9
SE4,2023,4,74.8
SE4,2023,5,74.27
SE4,2023,6,101.76
SE4,2023,7,40.93
SE4,2023,8,47.96
SE4,2023,9,49.59
SE4,2023,10,35.3
SE4,2023,11,84.43
SE4,2023,12,82.99
